#RowNumber,CustomerId,Surname,CreditScore,Gender,Age,Tenure,NumOfProducts,HasCrCard,EstimatedSalary,Exited,Balance
1,15806771,Yefremova,753,Female,40,0,2,1,177065,1,3769
2,15713774,Chikwendu,644,Female,46,6,1,0,156787,1,12459
3,15776467,De Salis,702,Female,35,8,2,1,54689,0,14263
4,15741416,Yegorov,707,Male,42,2,1,1,77503,0,16894
5,15669011,Bocharova,659,Female,44,9,1,0,169862,1,23503
6,15800083,Macdonald,559,Male,45,8,1,0,169781,1,24043
7,15674156,Tretiakova,810,Male,69,3,1,1,110510,0,27288
8,15715638,Ch'ang,824,Male,77,3,2,0,2746,0,27517
9,15690925,McIntosh,527,Female,29,2,1,1,97468,1,27756
10,15594878,Thompson,661,Female,41,5,1,1,69586,1,28083
11,15598485,Pinto,567,Male,40,8,1,1,95141,0,28650
12,15649292,Bellucci,748,Female,49,7,1,0,163551,1,29602
13,15627830,Nikitina,640,Female,30,5,1,0,141446,0,32198
14,15574761,Lynch,466,Female,41,3,2,1,178994,1,33564
15,15677371,Ko,629,Female,30,2,1,1,19571,0,34014
16,15693906,Abbott,645,Female,24,3,1,1,11638,0,34548
17,15798964,Nkemakonam,714,Male,33,3,1,1,53667,0,35017
18,15751032,Enemuo,629,Female,37,1,2,0,49676,0,35550
19,15791172,Yeh,672,Female,21,1,1,1,28790,0,35742
20,15629338,Collingridge de T,658,Female,31,2,1,1,103645,1,36567
21,15592979,Rose,671,Female,34,6,2,0,156917,0,37267
22,15743976,Archer,618,Male,41,8,1,1,195775,0,37703
23,15773283,Dennis,641,Male,65,6,1,1,32608,1,38340
24,15752622,Kerr,729,Female,32,7,1,0,179230,0,38550
25,15679394,Owen,651,Female,41,4,1,1,104877,0,38617
26,15602811,Chioke,730,Male,38,0,2,0,94003,0,38848
27,15763662,Longo,711,Male,43,2,2,1,175424,0,39043
28,15611186,Yevdokimova,609,Male,37,1,1,1,178292,1,39345
29,15754929,Douglas,757,Male,31,10,2,0,192519,0,39539
30,15684042,Blair,636,Male,34,2,2,0,53512,0,40106
31,15682834,Johnstone,715,Female,35,4,2,1,199857,0,40170
32,15672875,Piccio,584,Male,32,8,1,1,137439,0,40173
33,15624428,Longo,651,Female,24,7,1,1,178341,0,40225
34,15576124,Muravyova,582,Male,41,1,1,1,128529,0,40489
35,15804771,Velazquez,614,Male,51,4,1,1,46775,0,40686
36,15612350,Taylor,691,Female,31,5,1,1,126214,1,40916
37,15734044,Black,671,Female,31,7,1,0,102681,0,41299
38,15740345,Osborne,657,Male,42,5,1,1,112980,1,41473
39,15569807,Ejimofor,673,Female,34,8,1,1,20599,1,42157
40,15665008,Sidorov,805,Female,26,8,2,1,28862,0,42713
41,15615254,Clark,555,Male,40,10,1,1,170514,0,43029
42,15658449,Chizoba,695,Male,45,9,1,0,77330,0,43135
43,15618647,Kornilova,744,Male,29,1,1,1,119328,0,43504
44,15642816,De Salis,850,Female,27,7,2,1,3025,0,43658
45,15582129,Hsia,517,Male,62,1,3,1,187756,1,43773
46,15813412,Barlow,721,Female,55,3,1,1,65864,1,44021
47,15767064,Davide,614,Female,36,1,1,1,73329,0,44055
48,15635364,Gray,618,Female,49,9,3,1,89729,1,44301
49,15569249,Howarth,576,Female,55,6,3,0,67540,1,44582
50,15613713,Kozlova,644,Male,30,5,1,1,10771,0,44929
51,15750839,Burns,649,Male,29,2,1,1,173496,0,45022
52,15743007,Seabrook,643,Female,45,4,1,1,60917,1,45144
53,15658946,Piccio,579,Male,40,10,2,1,18733,0,45409
54,15603749,Galkina,564,Female,53,2,1,1,41056,1,45472
55,15753110,McKay,720,Male,64,3,2,1,79623,1,45753
56,15686743,Moody,790,Male,29,3,2,1,189778,0,46058
57,15660147,Dore,493,Male,32,8,1,1,79577,0,46161
58,15690620,Olisaemeka,665,Male,39,10,1,1,136812,0,46324
59,15593778,Craig,779,Female,29,3,3,1,127939,1,46388
60,15623566,Barnhill,714,Male,40,9,1,1,96687,0,46521
61,15610383,Dumetolisa,628,Female,46,1,4,1,31272,1,46870
62,15669783,Simpson,586,Female,60,3,2,0,63241,1,47021
63,15719856,Lamb,646,Female,45,3,1,1,57236,0,47135
64,15674328,Moreno,670,Female,40,3,1,1,148579,1,47364
65,15680167,Thomson,635,Female,78,6,1,1,119400,0,47536
66,15688157,Padovano,683,Female,39,2,2,1,86019,0,47685
67,15658956,Tuan,505,Male,40,6,2,1,155062,0,47870
68,15582154,Crawford,670,Female,45,5,1,1,54340,0,47885
69,15746695,Wunder,429,Female,39,6,1,1,74871,0,48024
70,15707974,Anayochukwu,815,Female,38,2,1,1,184797,0,48387
71,15704987,Lu,649,Female,52,8,1,1,41858,0,49114
72,15700654,Liardet,617,Male,44,9,2,1,53294,0,49157
73,15812230,Elliot,670,Female,42,5,3,1,100324,0,49509
74,15680920,Marchesi,695,Male,46,7,1,1,133007,0,49513
75,15808175,Castiglione,557,Female,39,7,1,1,115288,1,49573
76,15579526,O'Meara,551,Male,42,1,1,1,23400,0,50195
77,15633897,Owen,725,Male,39,1,2,1,184024,0,50881
78,15624820,Ross,683,Male,56,7,3,0,97629,1,50911
79,15622518,Stephenson,768,Female,26,5,1,1,70455,1,51116
80,15569654,Munro,850,Female,31,3,1,0,35535,0,51293
81,15735263,Hsueh,736,Male,27,5,1,0,192132,0,51523
82,15768449,Ricci,634,Female,37,7,2,1,184313,0,51583
83,15611318,Kruglova,599,Male,33,4,1,1,111623,1,51691
